['川', 'J', '5', '6', 'X', 'D', '8']
['鲁', 'V', 'K', 'H', 'F', 'K', 'G']
['晋', 'X', '9', '7', 'A', 'G', 'J']
['苏', 'H', '3', 'P', 'U', '6', 'S']
['甘', 'L', 'M', 'Y', '0', 'Q', '5']
['津', 'R', 'R', 'Q', 'J', 'E', 'P']
['渝', 'K', '7', '0', 'E', '3', 'J']
['苏', 'P', 'Q', 'F', 'P', 'J', 'D']
['冀', 'M', 'Y', '3', '8', 'R', 'B']
['云', 'D', '3', 'J', '8', '6', '4']
['粤', 'V', 'N', 'X', 'D', 'M', '2']
['豫', 'X', 'T', 'N', 'A', '1', '8']
['苏', 'D', 'T', 'D', 'X', '0', 'H']
['赣', 'F', 'W', 'P', '6', 'H', '0']
['辽', 'E', 'C', 'V', 'B', 'X', 'S']
['浙', 'P', '2', 'S', 'H', 'E', '5']
['新', 'L', 'X', '2', 'J', '0', 'W']
['甘', 'R', 'D', 'B', 'Y', '5', 'Q']
['蒙', 'Y', '7', 'H', '5', 'K', '9']
['云', 'P', 'B', 'K', 'U', 'W', 'C']
['皖', 'Q', 'H', '2', 'P', 'L', 'P']
['琼', 'A', 'X', '8', '9', 'G', 'E']
['藏', 'G', 'T', 'X', '2', '9', 'N']
['沪', 'L', '8', 'Y', 'T', 'X', 'M']
['陕', 'K', '6', 'B', 'N', '5', 'X']
['黑', 'H', 'K', 'H', 'T', 'H', 'U']
['冀', 'M', 'E', 'X', 'L', 'J', 'S']
['黑', 'V', 'X', '1', 'K', '1', 'Y']
['陕', 'E', 'R', '4', 'Y', '8', 'Y']
['闽', 'C', 'H', 'X', 'D', 'G', 'D']
['吉', 'S', 'A', 'C', '8', 'B', 'Z']
['湘', 'Y', 'D', 'X', 'G', 'M', '5']
['陕', 'M', 'P', '9', 'T', 'Y', 'V']
['晋', 'A', 'L', 'L', 'E', 'B', 'N']
['赣', 'P', 'P', 'G', 'M', 'X', 'B']
['陕', 'E', 'Z', 'N', 'D', 'E', '4']
['藏', 'V', '3', '2', 'H', 'V', 'Y']
['川', 'B', '5', 'W', '2', 'M', '7']
['闽', 'J', 'A', 'D', 'G', '1', 'V']
['蒙', 'K', 'H', '2', 'P', 'M', 'M']
['吉', 'W', '1', '1', 'R', 'K', 'J']
['皖', 'Z', 'H', 'B', 'F', '3', 'Q']
['鄂', 'G', '0', 'A', '1', 'B', '5']
['琼', 'E', 'X', 'K', 'P', '1', 'F']
['辽', 'C', 'P', '0', 'A', 'T', 'C']
['陕', 'C', 'K', 'W', '2', 'A', 'Y']
['渝', 'B', '0', 'Q', '9', 'N', 'E']
['青', 'C', '2', '5', 'P', 'W', 'T']
['冀', 'C', 'A', 'C', '5', '8', 'B']
['川', 'K', '9', 'Z', 'S', 'Q', '0']
['皖', 'W', 'F', '4', 'B', '8', 'W']
['宁', 'T', 'J', '1', 'J', 'M', 'Q']
['陕', 'U', 'T', 'A', 'K', 'P', 'J']
['蒙', 'A', 'F', 'C', 'S', '2', 'U']
['豫', 'M', 'M', 'V', 'H', '0', '9']
['皖', 'P', 'W', 'H', '3', 'X', 'F']
['琼', 'L', '0', '4', 'F', 'N', 'F']
['琼', 'S', 'E', 'G', 'C', 'F', '4']
['苏', 'B', '5', 'P', 'E', 'T', '6']
['吉', 'T', 'Z', 'S', 'V', '6', '2']
['苏', 'N', 'F', 'M', 'K', '7', '9']
['冀', 'M', 'L', 'G', '4', 'N', '0']
['鲁', 'D', 'N', 'L', 'M', 'R', 'J']
['川', 'S', '3', 'L', 'G', 'H', '8']
